region,year_start,vineyard_area_ha
Alentejo,1989,11510.0
Algarve,1989,2750.0
Açores,1989,2489.0
Lisboa,1989,46046.0
Madeira,1989,1803.0
P. Setúbal,1989,11396.0
Tejo,1989,28124.0
Verdes,1989,38349.0
Alentejo,1999,13457.0
Algarve,1999,1933.0
Açores,1999,1700.0
Lisboa,1999,38750.0
Madeira,1999,1603.92
P. Setúbal,1999,9367.0
Tejo,1999,23532.0
Verdes,1999,39638.0
Alentejo,2000,16123.0
Algarve,2000,2154.0
Açores,2000,1700.0
Lisboa,2000,21875.0
Madeira,2000,1512.76
P. Setúbal,2000,9283.0
Tejo,2000,29765.0
Verdes,2000,34035.0
Alentejo,2001,18420.0
Algarve,2001,2140.0
Açores,2001,1700.0
Lisboa,2001,28548.0
Madeira,2001,1512.76
P. Setúbal,2001,9253.0
Tejo,2001,21637.0
Verdes,2001,34255.0
Alentejo,2002,20760.2
Algarve,2002,2148.29
Açores,2002,1700.0
Lisboa,2002,27245.9
Madeira,2002,1512.76
P. Setúbal,2002,9309.19
Tejo,2002,21171.5
Verdes,2002,34018.4
Alentejo,2003,21691.15
Algarve,2003,2133.05
Açores,2003,1700.0
Lisboa,2003,26390.61
Madeira,2003,1512.76
P. Setúbal,2003,9052.38
Tejo,2003,20808.21
Verdes,2003,33675.82
Alentejo,2004,21740.9
Algarve,2004,2097.67
Açores,2004,1700.0
Lisboa,2004,25339.15
Madeira,2004,1512.76
P. Setúbal,2004,9041.48
Tejo,2004,20238.48
Verdes,2004,32881.09
Alentejo,2005,22654.58
Algarve,2005,2094.79
Açores,2005,1700.0
Lisboa,2005,25693.01
Madeira,2005,1512.76
P. Setúbal,2005,9209.12
Tejo,2005,20002.73
Verdes,2005,32658.57
Alentejo,2006,22958.55
Algarve,2006,2082.63
Açores,2006,1700.0
Lisboa,2006,25629.84
Madeira,2006,1512.76
P. Setúbal,2006,9203.45
Tejo,2006,19989.03
Verdes,2006,32235.79
Alentejo,2007,23490.66
Algarve,2007,2063.2
Açores,2007,1700.0
Lisboa,2007,25198.41
Madeira,2007,1512.76
P. Setúbal,2007,9282.14
Tejo,2007,19518.16
Verdes,2007,31815.54
Alentejo,2008,23089.0
Algarve,2008,2060.0
Açores,2008,1700.0
Lisboa,2008,25107.0
Madeira,2008,1426.27
P. Setúbal,2008,9313.0
Tejo,2008,19304.0
Verdes,2008,31622.0
Alentejo,2009,23490.0
Algarve,2009,1983.0
Açores,2009,1700.0
Lisboa,2009,24799.0
Madeira,2009,1458.66
P. Setúbal,2009,9210.0
Tejo,2009,18743.0
Verdes,2009,31009.7
Alentejo,2010,23784.81
Algarve,2010,1984.53
Açores,2010,1700.0
Lisboa,2010,24526.82
Madeira,2010,1423.0
P. Setúbal,2010,9181.88
Tejo,2010,18082.17
Verdes,2010,30902.52
Alentejo,2011,23903.93
Algarve,2011,1985.82
Açores,2011,1700.0
Lisboa,2011,24506.8
Madeira,2011,1435.93
P. Setúbal,2011,9195.95
Tejo,2011,17892.34
Verdes,2011,31060.31
Alentejo,2012,23438.4
Algarve,2012,1976.08
Açores,2012,1700.0
Lisboa,2012,24241.13
Madeira,2012,1433.0
P. Setúbal,2012,9010.62
Tejo,2012,17230.34
Verdes,2012,30564.92
Alentejo,2013,23204.02
Algarve,2013,1963.04
Açores,2013,1700.0
Lisboa,2013,23756.31
Madeira,2013,1090.26
P. Setúbal,2013,8740.3
Tejo,2013,16196.52
Verdes,2013,29036.68
Alentejo,2014,23188.0
Algarve,2014,1773.0
Açores,2014,1700.0
Douro,2014,43611.0
Lisboa,2014,22425.0
Madeira,2014,1071.15
P. Setúbal,2014,8622.0
T. Montes,2014,23303.0
Tejo,2014,15653.0
Verdes,2014,27432.0
Alentejo,2015,21816.0
Algarve,2015,1858.0
Açores,2015,1700.0
Douro,2015,42184.0
Lisboa,2015,20359.0
Madeira,2015,1060.55
P. Setúbal,2015,7556.0
T. Montes,2015,17788.0
Tejo,2015,13589.0
Verdes,2015,20433.0
Alentejo,2016,23375.4
Algarve,2016,1722.34
Açores,2016,1700.0
Bairrada,2016,15086.14
Beira Interior,2016,15687.02
Douro,2016,42766.28
Dão,2016,14646.57
Lisboa,2016,19186.09
Madeira,2016,1052.0
P. Setúbal,2016,7202.54
T. Montes,2016,14380.78
Tejo,2016,12873.56
Távora-Varosa,2016,2520.43
Verdes,2016,21019.73
Alentejo,2017,23878.98
Algarve,2017,1433.56
Açores,2017,1700.0
Bairrada,2017,15134.45
Beira Interior,2017,15520.46
Douro,2017,42023.42
Dão,2017,14837.46
Lisboa,2017,18640.87
Madeira,2017,1050.62
P. Setúbal,2017,7213.05
T. Montes,2017,14510.35
Tejo,2017,12221.08
Távora-Varosa,2017,2160.85
Verdes,2017,21306.89
Alentejo,2018,24544.14
Algarve,2018,1351.84
Açores,2018,1707.91
Bairrada,2018,14630.3
Beira Interior,2018,15110.47
Douro,2018,42555.81
Dão,2018,14475.99
Lisboa,2018,17989.07
Madeira,2018,1052.0
P. Setúbal,2018,7265.37
T. Montes,2018,13538.66
Tejo,2018,11943.65
Távora-Varosa,2018,2183.89
Verdes,2018,21972.97
Alentejo,2019,24709.35
Algarve,2019,1404.35
Açores,2019,1707.91
Bairrada,2019,13692.82
Beira Interior,2019,14327.97
Douro,2019,43862.69
Dão,2019,13723.06
Lisboa,2019,19287.34
Madeira,2019,1047.1
P. Setúbal,2019,7865.89
T. Montes,2019,12252.48
Tejo,2019,12517.06
Távora-Varosa,2019,2345.76
Verdes,2019,23999.45
Alentejo,2020,25056.52
Algarve,2020,1399.83
Açores,2020,1707.91
Bairrada,2020,13314.01
Beira Interior,2020,13913.72
Douro,2020,44161.6
Dão,2020,13320.94
Lisboa,2020,19638.97
Madeira,2020,1025.38
P. Setúbal,2020,7985.99
T. Montes,2020,11613.03
Tejo,2020,12750.94
Távora-Varosa,2020,2271.93
Verdes,2020,24240.29
Alentejo,2021,25460.87
Algarve,2021,1426.76
Açores,2021,1707.91
Bairrada,2021,13258.64
Beira Interior,2021,13874.26
Douro,2021,44180.26
Dão,2021,13408.87
Lisboa,2021,19869.34
Madeira,2021,681.0
P. Setúbal,2021,8026.98
T. Montes,2021,10701.41
Tejo,2021,12846.59
Távora-Varosa,2021,2214.88
Verdes,2021,24371.07
Alentejo,2022,25924.0
Algarve,2022,1442.0
Açores,2022,1708.0
Bairrada,2022,13391.0
Beira Interior,2022,14060.0
Douro,2022,43466.0
Dão,2022,13409.0
Lisboa,2022,19869.0
Madeira,2022,681.0
P. Setúbal,2022,8027.0
T. Montes,2022,9701.0
Tejo,2022,12847.0
Távora-Varosa,2022,2274.0
Verdes,2022,24371.0
Alentejo,2023,26443.0
Algarve,2023,1355.0
Açores,2023,1737.0
Bairrada,2023,9440.0
Beira Interior,2023,11738.0
Douro,2023,44224.0
Dão,2023,12898.0
Lisboa,2023,17857.0
Madeira,2023,669.0
P. Setúbal,2023,7417.0
T. Montes,2023,9419.0
Tejo,2023,11847.0
Távora-Varosa,2023,2169.0
Verdes,2023,23147.0
Alentejo,2024,26066.74
Algarve,2024,1243.59
Açores,2024,1356.41
Bairrada,2024,9304.66
Beira Interior,2024,11654.57
Douro,2024,43897.88
Dão,2024,9826.72
Lisboa,2024,17942.18
Madeira,2024,656.38
P. Setúbal,2024,7433.17
T. Montes,2024,4565.43
Tejo,2024,11973.57
Távora-Varosa,2024,2107.9
Verdes,2024,23234.49
Alentejo,2025,25421.93
Algarve,2025,1201.75
Açores,2025,1334.12
Bairrada,2025,9180.68
Beira Interior,2025,11360.82
Douro,2025,43929.72
Dão,2025,9834.17
Lisboa,2025,17819.98
Madeira,2025,645.88
P. Setúbal,2025,7355.33
T. Montes,2025,4520.63
Tejo,2025,11713.12
Távora-Varosa,2025,2072.41
Verdes,2025,23272.15
