model,split,MAE,RMSE,R2,selected_on_validation
Persistence (previous campaign),rolling_validation_2018_2022,70220.12857142858,115756.30819200678,0.9435020091477276,False
Linear regression with lags,rolling_validation_2018_2022,62814.128115246924,85940.13009001994,0.9688587756965714,False
Ridge with lags (alpha=0.1),rolling_validation_2018_2022,55433.81439886304,80138.7242258581,0.9729212559124341,False
Ridge with lags (alpha=1),rolling_validation_2018_2022,56040.411133298505,81925.87508312927,0.9717000383459283,False
Ridge with lags (alpha=10),rolling_validation_2018_2022,56307.8857537882,84513.51094014099,0.9698840923257759,False
Random forest with lags,rolling_validation_2018_2022,52313.73400890545,80663.7343007591,0.9725652936231548,True
Persistence (previous campaign),test_2023_2025,69402.57142857143,126722.54878088512,0.9364404823435287,False
Linear regression with lags,test_2023_2025,88247.84129919644,120599.8087189844,0.9424340028243964,False
Ridge with lags (alpha=0.1),test_2023_2025,83055.267034753,122432.74350038717,0.9406708731530422,False
Ridge with lags (alpha=1),test_2023_2025,81914.46685846428,128747.56457958912,0.934392900307947,False
Ridge with lags (alpha=10),test_2023_2025,78820.68444220902,124083.0028576708,0.9390607108179968,False
Random forest with lags,test_2023_2025,59025.88192938914,100229.85741068052,0.9602381100353985,True
