model,split,MAE,RMSE,R2,selected_on_validation
Linear regression,rolling_validation_2018_2022,58179.958016073404,84156.48379647778,0.9701380040390868,True
Historical region mean,rolling_validation_2018_2022,58463.988549228554,89738.89762441679,0.9660448909448025,False
Ridge (alpha=0.1),rolling_validation_2018_2022,59694.52947674984,85167.31602684243,0.9694163305426174,False
Random forest (min_leaf=2),rolling_validation_2018_2022,62630.30266702875,102684.5891046939,0.9555415611592746,False
Random forest (min_leaf=4),rolling_validation_2018_2022,66161.78709162386,107021.36510229998,0.9517069492088137,False
Random forest (min_leaf=1),rolling_validation_2018_2022,66512.2471714286,109582.18780951716,0.9493681725156183,False
Persistence (last region value),rolling_validation_2018_2022,70220.12857142858,115756.30819200678,0.9435020091477276,False
Ridge (alpha=1),rolling_validation_2018_2022,74867.45443941862,100680.58359503813,0.9572599409649056,False
Ridge (alpha=10),rolling_validation_2018_2022,139381.02991173245,171432.46761591992,0.8760833049124945,False
Ridge (alpha=100),rolling_validation_2018_2022,251104.06234417934,283835.28031075874,0.6603149585646584,False
Persistence (last region value),test_2023_2025,55138.71428571428,98771.29253410194,0.9613869357058659,False
Historical region mean,test_2023_2025,70376.9693877551,117841.61244042068,0.9450370357643771,False
Linear regression,test_2023_2025,78982.39164766592,115420.16038265865,0.9472726261899214,True
Ridge (alpha=0.1),test_2023_2025,79057.5584697593,116689.60405435356,0.9461064084595695,False
Ridge (alpha=1),test_2023_2025,86592.56444727244,128858.96221096012,0.9342793193275862,False
Random forest (min_leaf=1),test_2023_2025,102481.90866666667,237582.96423751395,0.7765895994430321,False
Random forest (min_leaf=2),test_2023_2025,105211.98415026806,238249.28100130652,0.7753347044024389,False
Random forest (min_leaf=4),test_2023_2025,108208.66616619518,230972.2276906702,0.7888493998129007,False
Ridge (alpha=10),test_2023_2025,123149.68280704794,178162.05251204188,0.8743671509152974,False
Ridge (alpha=100),test_2023_2025,224458.008324848,273972.34131594095,0.7029112295549156,False
