,region,campaign_year,year_start,total_production_hl,dop_production_hl,igp_production_hl,year_variety_production_hl,non_certified_production_hl,vineyard_area_ha
count,238,238,238.0,238.0,238.0,238.0,238.0,238.0,200.0
unique,14,17,,,,,,,
top,Alentejo,2009/10,,,,,,,
freq,17,14,,,,,,,
mean,,,2017.0,465839.1176470588,245228.70588235295,140124.70168067227,2601.701680672269,78973.42016806723,13664.329950000001
std,,,4.909304005944714,472475.93409406807,377479.25641776744,244303.99498578842,5425.161556566726,111748.74737545404,11460.963758102727
min,,,2009.0,3604.0,323.0,0.0,0.0,236.0,645.88
25%,,,2013.0,55393.25,23010.5,5239.75,0.0,7694.0,1985.4975
50%,,,2017.0,256649.5,67773.5,23993.0,181.0,42812.0,12798.765
75%,,,2021.0,825834.75,226827.75,190499.5,2654.75,94333.25,21434.1675
max,,,2025.0,1692188.0,1611244.0,1320508.0,34263.0,773417.0,44224.0
